period,cohort_month,cohort,model_family,family,specification,model_id,representation,probability_variant,probability_type,bin,n,positives,prevalence,mean_probability,min_probability,max_probability,absolute_calibration_error,weight,fitted_model_sha256,order_id_sha256,family_label,model_label
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DP0,DP0,full,calibrated,calibrated,1,4027,246,0.0610876583064,0.0360062878244,0.0061206206555,0.0423270661306,0.0250813704821,0.1,83789b5b61a8824887e2e1961a3a76017f99fd10e02131d8da5eef3a3f69c3dd,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,L2 Logistic Regression,Promise only
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DP0,DP0,full,calibrated,calibrated,2,4027,344,0.0854233921033,0.0468303220359,0.0423273879107,0.0499681032027,0.0385930700674,0.1,83789b5b61a8824887e2e1961a3a76017f99fd10e02131d8da5eef3a3f69c3dd,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,L2 Logistic Regression,Promise only
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DP0,DP0,full,calibrated,calibrated,3,4027,669,0.166128631736,0.0510079421062,0.0499681399074,0.051813748437,0.11512068963,0.1,83789b5b61a8824887e2e1961a3a76017f99fd10e02131d8da5eef3a3f69c3dd,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,L2 Logistic Regression,Promise only
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DP0,DP0,full,calibrated,calibrated,4,4027,890,0.221008194686,0.0525614491488,0.0518139183154,0.0533083473599,0.168446745537,0.1,83789b5b61a8824887e2e1961a3a76017f99fd10e02131d8da5eef3a3f69c3dd,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,L2 Logistic Regression,Promise only
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DP0,DP0,full,calibrated,calibrated,5,4027,477,0.118450459399,0.0543288262701,0.0533083568473,0.0556050012341,0.0641216331289,0.1,83789b5b61a8824887e2e1961a3a76017f99fd10e02131d8da5eef3a3f69c3dd,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,L2 Logistic Regression,Promise only
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DP0,DP0,full,calibrated,calibrated,6,4027,197,0.048919791408,0.0600602415939,0.0556052184237,0.0620435679486,0.0111404501859,0.1,83789b5b61a8824887e2e1961a3a76017f99fd10e02131d8da5eef3a3f69c3dd,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,L2 Logistic Regression,Promise only
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DP0,DP0,full,calibrated,calibrated,7,4027,153,0.0379935435808,0.0645234851814,0.0620440044723,0.0717330606957,0.0265299416006,0.1,83789b5b61a8824887e2e1961a3a76017f99fd10e02131d8da5eef3a3f69c3dd,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,L2 Logistic Regression,Promise only
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DP0,DP0,full,calibrated,calibrated,8,4027,50,0.0124161907127,0.0730245488116,0.0717361317368,0.0736019935397,0.060608358099,0.1,83789b5b61a8824887e2e1961a3a76017f99fd10e02131d8da5eef3a3f69c3dd,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,L2 Logistic Regression,Promise only
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DP0,DP0,full,calibrated,calibrated,9,4027,102,0.0253290290539,0.0742251726981,0.0736020334324,0.0754926631386,0.0488961436442,0.1,83789b5b61a8824887e2e1961a3a76017f99fd10e02131d8da5eef3a3f69c3dd,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,L2 Logistic Regression,Promise only
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DP0,DP0,full,calibrated,calibrated,10,4027,349,0.0866650111746,0.0779041530914,0.0754927622013,0.0813672169603,0.00876085808319,0.1,83789b5b61a8824887e2e1961a3a76017f99fd10e02131d8da5eef3a3f69c3dd,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,L2 Logistic Regression,Promise only
